type,group,url
content-group,pillar,https://www.dealerspike.com/digital-marketing-deep-dive
content-group,pillar,https://www.dealerspike.com/streamline-customer-path-to-purchase
content-group,pillar,https://www.dealerspike.com/blog/from-browsing-to-buying-how-a-digital-storefront-delivers-the-ultimate-shopper-experience--63878
content-group,sub-pillar,https://www.dealerspike.com/blog/enhancing-sales--customer-experience-through-online-inventory-marketing--63322
content-group,sub-pillar,https://www.dealerspike.com/blog/automated-email-marketing-what-it-is--what-it-does-for-you--53936
content-group,sub-pillar,https://www.dealerspike.com/blog/increase-brand-awareness--drive-qualified-buyers-with-search-engine-optimization--61523
content-group,sub-pillar,https://www.dealerspike.com/blog/a-guide-to-integrated-marketing-strategies-for-your-dealership--64891
content-group,sub-pillar,https://www.dealerspike.com/blog/the-power-of-social-media-how-to-harness-its-impact-on-marketing--66497
content-group,sips,https://www.dealerspike.com/empower-your-online-presence--responsive-dealer-websites
content-group,sips,https://www.dealerspike.com/new-and-pre-owned-inventory-management-tools--inventory-management
content-group,sips,https://www.dealerspike.com/create-a-powerful-online-shopping-center--ecommerce
content-group,sips,https://www.dealerspike.com/people-are-looking-for-your-dealership--search-engine-marketing
content-group,sips,https://www.dealerspike.com/people-are-looking-for-your-dealership--search-engine-optimization
content-group,sips,https://www.dealerspike.com/increase-your-lead-iq--marketing-automation
content-group,sips,https://www.dealerspike.com/--targeted-digital-advertising
content-group,sips,https://www.dealerspike.com/see-what-our-clients-are-saying-about-us--rv-testimonials
content-group,sips,https://www.dealerspike.com/see-our-work--rv-portfolio
content-group,sips,https://www.dealerspike.com/see-our-work--powersports-portfolio
content-group,sips,https://www.dealerspike.com/see-what-our-clients-are-saying-about-us--powersports-testimonials
content-group,sips,https://www.dealerspike.com/watch-your-website-numbers-grow--reporting-and-stats
content-group,sips,https://www.dealerspike.com/see-our-work--marine-portfolio
content-group,sips,https://www.dealerspike.com/dealer--marine-success-stories
content-group,sips,https://www.dealerspike.com/earn-positive-business-reviews--reputation-management
content-group,sips,https://www.dealerspike.com/see-our-work--trailer-portfolio
content-group,sips,https://www.dealerspike.com/see-what-our-clients-are-saying-about-us--trailer-testimonials
content-group,sips,https://www.dealerspike.com/dealer--trailer-success-stories
content-group,sips,https://www.dealerspike.com/contact-us-with-any-questions-or-comments--contact-us
content-group,sips,https://www.dealerspike.com/see-our-work--ag-portfolio
content-group,sips,https://www.dealerspike.com/see-what-our-clients-are-saying-about-us--ag-testimonials
content-group,sips,https://www.dealerspike.com/dealer--ag-success-stories
content-group,sips,https://www.dealerspike.com/see-our-work--truck-portfolio
content-group,sips,https://www.dealerspike.com/see-what-our-clients-are-saying-about-us--truck-testimonials
content-group,sips,https://www.dealerspike.com/dealer--truck-success-stories
content-group,sips,https://www.dealerspike.com/see-our-work--heavy-equipment-portfolio
content-group,sips,https://www.dealerspike.com/see-what-our-clients-are-saying-about-us--heavy-equipment-testimonials
content-group,sips,https://www.dealerspike.com/dealer--heavy-equipment-success-stories
content-group,sips,https://www.dealerspike.com/explore-manufacturer-co-op-offerings--oem-relations
content-group,sips,https://www.dealerspike.com/--digital-marketing-product-line-up
content-group,sips,https://www.dealerspike.com/automated-email-marketing
content-group,sips,https://www.dealerspike.com/--automated-email-marketing
content-group,sips,https://www.dealerspike.com/powersports
content-group,sips,https://www.dealerspike.com/rv
content-group,sips,https://www.dealerspike.com/marine
content-group,sips,https://www.dealerspike.com/trailer
content-group,sips,https://www.dealerspike.com/agriculture
content-group,sips,https://www.dealerspike.com/truck
content-group,sips,https://www.dealerspike.com/heavyequipment
content-group,sips,https://www.dealerspike.com/payment-genie-tool
content-group,sips,https://www.dealerspike.com/payment-genie-calculator
content-group,sips,https://www.dealerspike.com/contact-us-today-to-schedule--virtual-presentation
conversion,demo,https://www.dealerspike.com/thank-you
conversion,support,https://www.dealerspike.com/support-thank-you
conversion,demo,https://www.dealerspike.com/payment-genie-tool-thank-you
