type,group,url
content-group,sips,https://frazer.com/frazer-products
content-group,sips,https://frazer.com/frazer-pricing
content-group,sips,https://frazer.com/frazer-integrations
content-group,sips,https://frazer.com/frazer-overview
content-group,sips,https://frazer.com/frazer-hosted
content-group,sips,https://frazer.com/frazerpay
content-group,sips,https://frazer.com/frazer-sidekick
content-group,sips,https://frazer.com/automated-email-marketing
content-group,sips,https://frazer.com/frazer-forms
content-group,sips,https://frazer.com/frazer-accounting
content-group,sips,https://frazer.com/frazer-hosted-dms
content-group,pillar,https://frazer.com/frazer-get-the-most-out-of-your-dms
