type,group,url
content-group,sips,https://shubkb.com/sip-a/
content-group,sips,https://shubkb.com/sip-b/
content-group,sips,https://shubkb.com/sip-c/
content-group,sips,https://shubkb.com/sip-d/
content-group,sips,https://shubkb.com/sip-e/
content-group,sips,https://shubkb.com/sip-f/
content-group,sips,https://shubkb.com/sip-g/
content-group,sips,https://shubkb.com/sip-h/
content-group,pillar,https://shubkb.com/pillar-a/
content-group,pillar,https://shubkb.com/pillar-b/
conversion,content,https://shubkb.com/content-a-ty/
conversion,content,https://shubkb.com/content-b-ty/
conversion,demo,https://shubkb.com/demo-a-ty/
conversion,demo,https://shubkb.com/demo-b-ty/
